BA9_CODDOE;BA9_DOENCA;BA9_ABREVI;BA9_RESTSE;BA9_CAUOBT;BA9_REFERE
A504;NEUROSSIFILIS CONGENITA TARDIANEUROSSIFILIS JUVENIL;A50.4 NEUROSSIFILIS CONGE;;;
A505;OUTRAS FORMAS TARDIAS E SINTOMATICAS DA SIFILIS CONGENITA;A50.5 OUTR FORM TARD E SI;;;
A506;SIFILIS CONGENITA TARDIA LATENTE;A50.6 SIFILIS CONGEN TARD;;;
A507;SIFILIS CONGENITA TARDIA NAO ESPECIFICADA;A50.7 SIFILIS CONGEN TARD;;;
A509;SIFILIS CONGENITA NAO ESPECIFICADA;A50.9 SIFILIS CONGEN NE;;;
A51;SIFILIS PRECOCE;A51 SIFILIS PRECOCE;;;
A510;SIFILIS GENITAL PRIMARIA;A51.0 SIFILIS GENITAL PRI;;;
A511;SIFILIS ANAL PRIMARIA;A51.1 SIFILIS ANAL PRIM;;;
A512;SIFILIS PRIMARIA DE OUTRAS LOCALIZACOES;A51.2 SIFILIS PRIM DE OUT;;;
A513;SIFILIS SECUNDARIA DA PELE E DAS MUCOSAS;A51.3 SIFILIS SECUND DA P;;;
A514;OUTRAS FORMAS DE SIFILIS SECUNDARIA;A51.4 OUTR FORM DE SIFILI;;;
A515;SIFILIS PRECOCE LATENTE;A51.5 SIFILIS PRECOCE LAT;;;
A519;SIFILIS PRECOCE NAO ESPECIFICADA;A51.9 SIFILIS PRECOCE NE;;;
A52;SIFILIS TARDIA;A52 SIFILIS TARD;;;
A520;SIFILIS CARDIOVASCULAR;A52.0 SIFILIS CARDIOVASCU;;;
A521;NEUROSSIFILIS SINTOMATICA;A52.1 NEUROSSIFILIS SINTO;;;
A522;NEUROSSIFILIS ASSINTOMATICA;A52.2 NEUROSSIFILIS ASSIN;;;
A523;NEUROSSIFILIS NAO ESPECIFICADA;A52.3 NEUROSSIFILIS NE;;;
A527;OUTRAS FORMAS DE SIFILIS TARDIA SINTOMATICA;A52.7 OUTR FORM DE SIFILI;;;
A528;SIFILIS TARDIA LATENTE;A52.8 SIFILIS TARD LATENT;;;
A529;SIFILIS TARDIA NAO ESPECIFICADA;A52.9 SIFILIS TARD NE;;;
A53;OUTRAS FORMAS E AS NAO ESPECIFICADAS DA SIFILIS;A53 OUTR FORM E AS NE D;;;
A530;SIFILIS LATENTENAO ESPECIFICADA SE RECENTE OU TARDIA;A53.0 SIFILIS LATENTE NE;;;
A539;SIFILIS NAO ESPECIFICADA;A53.9 SIFILIS NE;;;
A54;INFECCAO GONOCOCICA;A54 INFECC GONOCOCICA;;;
A540;INFECCAO GONOCOCICA DO TRATO GENITURINARIO INFERIORSEM ABSCESSO PERIURETRAL OU DAS GLANDULAS ACESSORIAS;A54.0 INF GON TR GENIT IN;;;
A541;INFECCAO GONOCOCICA DO TRATO GENITURINARIO INFERIORCOM ABSCESSO PERIURETRAL OU DAS GLANDULAS ACESSORIAS;A54.1 INF GON TR GENIT IN;;;
A542;PELVIPERITONITE GONOCOCICA E OUTRAS INFECCOES GENITURINARIAS GONOCOCICAS;A54.2 PELVIPERIT GONOC E;;;
A543;INFECCAO GONOCOCICA DO OLHO;A54.3 INFECC GONOCOCICA D;;;
A544;INFECCAO GONOCOCICA DO SISTEMA MUSCULO ESQUELETICO;A54.4 INFECC GONOCOCICA S;;;
A545;FARINGITE GONOCOCICA;A54.5 FARINGITE GONOCOCIC;;;
A546;INFECCAO GONOCOCICA DO ANUS OU DO RETO;A54.6 INFECC GONOCOCICA D;;;
A548;OUTRAS INFECCOES GONOCOCICAS;A54.8 OUTR INFECC GONOCOC;;;
A549;INFECCAO GONOCOCICA NAO ESPECIFICADA;A54.9 INFECC GONOCOCICA N;;;
A55;LINFOGRANULOMAVENEREOPOR CLAMIDIA;A55 LINFOGRANULOMA P CL;;;
A55;LINFOGRANULOMAVENEREOPOR CLAMIDIA;A55 LINFOGRANULOMA P CL;;;
A56;OUTRAS INFECCOES CAUSADAS POR CLAMIDIAS TRANSMITIDAS POR VIA SEXUAL;A56 OUTR INFECC P CLAMI;;;
A560;INFECCOES POR CLAMIDIAS DO TRATO GENITURINARIO INFERIOR;A56.0 INFECC P CLAMIDIAS;;;
A561;INFECCAO POR CLAMIDIASPELVIPERITONIAL E DE OUTROS ORGAOS GENITURINARIOS;A56.1 INFECC P CLAMID PEL;;;
A562;INFECCAO POR CLAMIDIAS DO TRATO GENITURINARIOLOCALIZACAO NAO ESPECIFICADA;A56.2 INFECC P CLAMIDIAS;;;
A563;INFECCAO DO ANUS E DO RETO POR CLAMIDIAS;A56.3 INFECC DO ANUS E DO;;;
A564;INFECCAO DA FARINGE POR CLAMIDIAS;A56.4 INFECC DA FARINGE P;;;
A568;INFECCAO POR CLAMIDIAS TRANSMITIDA POR VIA SEXUALDE OUTRAS LOCALIZACOES;A56.8 INFECC P CLAMID TRA;;;
A57;CANCRO MOLE;A57 CANCRO MOLE;;;
A57;CANCRO MOLE;A57 CANCRO MOLE;;;
A58;GRANULOMA INGUINAL;A58 GRANULOMA INGUINAL;;;
A58;GRANULOMA INGUINAL;A58 GRANULOMA INGUINAL;;;
A59;TRICOMONIASE;A59 TRICOMONIASE;;;
A590;TRICOMONIASE UROGENITAL;A59.0 TRICOMONIASE UROGEN;;;
A598;OUTRAS LOCALIZACOES DE TRICOMONIASE;A59.8 OUTR LOCALIZ DE TRI;;;
A599;TRICOMONIASE NAO ESPECIFICADA;A59.9 TRICOMONIASE NE;;;
A60;INFECCOES ANOGENITAIS PELO VIRUS DO HERPESHERPES SIMPLES;A60 INFECC ANOGENITAIS;;;
A600;INFECCAO DOS ORGAOS GENITAIS E DO TRATO GENITURINARIO PELO VIRUS DO HERPES;A60.0 INFECC ORG GENIT TR;;N;
A601;INFECCAO DA MARGEM CUTANEA DO ANUS E DO RETO PELO VIRUS DO HERPES;A60.1 INFECC MARGEM CUTAN;;;
A609;INFECCAO ANOGENITAL NAO ESPECIFICADA PELO VIRUS DO HERPES;A60.9 INFECC ANOGENITAL N;;;
A63;OUTRAS DOENCAS DE TRANSMISSAO PREDOMINANTEMENTE SEXUALNAO CLASSIFICADAS EM OUTRA PARTE;A63 OUTR DOENC DE TRANS;;;
A630;VERRUGAS ANOGENITAISVENEREAS;A63.0 VERRUGAS ANOGENITAI;;;
A638;OUTRAS DOENCAS ESPECIFICADAS DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL;A63.8 OUTR DOENC ESPEC DE;;;
A64;DOENCAS SEXUALMENTE TRANSMITIDASNAO ESPECIFICADAS;A64 DOENC SEXUALMENTE T;;;
A64;DOENCAS SEXUALMENTE TRANSMITIDASNAO ESPECIFICADAS;A64 DOENC SEXUALMENTE T;;;
A65;SIFILIS NAO VENEREA;A65 SIFILIS NAO VENEREA;;;
A65;SIFILIS NAO VENEREA;A65 SIFILIS NAO VENEREA;;;
A66;BOUBA;A66 BOUBA;;;
A660;LESOES INICIAIS DA BOUBA;A66.0 LESOES INICIAIS DA;;;
A661;PAPILOMAS MULTIPLOS E BOUBA PLANTAR UMIDACRAVO DE BOUBA;A66.1 PAPILOMAS MULT E BO;;;
A662;OUTRAS LESOES CUTANEAS PRECOCES DA BOUBA;A66.2 OUTR LESOES CUTANEA;;;
A663;HIPERCERATOSE DEVIDA A BOUBA;A66.3 HIPERCERATOSE DEV B;;;
A664;GOMAS E ULCERAS DEVIDAS A BOUBA;A66.4 GOMAS E ULCERAS DEV;;;
A665;GANGOSA;A66.5 GANGOSA;;;
A666;LESOES OSTEOARTICULARES DEVIDAS A BOUBA;A66.6 LESOES OSTEOARTICUL;;;
A667;OUTRAS MANIFESTACOES DA BOUBA;A66.7 OUTR MANIFESTACOES;;;
A668;BOUBA LATENTE;A66.8 BOUBA LATENTE;;;
A669;BOUBA NAO ESPECIFICADA;A66.9 BOUBA NE;;;
A67;PINTACARATE;A67 PINTA;;;
A670;LESOES PRIMARIAS DA PINTA;A67.0 LESOES PRIM DA PINT;;;
A671;LESOES INTERMEDIARIAS DA PINTA;A67.1 LESOES INTERMEDIARI;;;
A672;LESOES TARDIAS DA PINTA;A67.2 LESOES TARD DA PINT;;;
A673;LESOES MISTAS DA PINTA;A67.3 LESOES MISTAS DA PI;;;
A679;PINTA NAO ESPECIFICADA;A67.9 PINTA NE;;;
A68;FEBRES RECORRENTESBORRELIOSES;A68 FEBRES RECORRENTES;;;
A680;FEBRE RECORRENTE TRANSMITIDA POR PIOLHOS;A68.0 FEBRE RECORRENTE TR;;;
A681;FEBRE RECORRENTE TRANSMITIDA POR CARRAPATOS;A68.1 FEBRE RECORRENTE TR;;;
A689;FEBRE RECORRENTE NAO ESPECIFICADA;A68.9 FEBRE RECORRENTE NE;;;
A69;OUTRAS INFECCOES POR ESPIROQUETAS;A69 OUTR INFECC P ESPIR;;;
A690;ESTOMATITE ULCERATIVA NECROTIZANTE;A69.0 ESTOMATITE ULCERATI;;;
A691;OUTRAS INFECCOES DE VINCENT;A69.1 OUTR INFECC DE VINC;;;
A692;DOENCA DE LYME;A69.2 DOENC DE LYME;;;
A698;OUTRAS INFECCOES ESPECIFICADAS POR ESPIROQUETAS;A69.8 OUTR INFECC ESPEC P;;;
A699;INFECCAO POR ESPIROQUETANAO ESPECIFICADA;A69.9 INFECC P ESPIROQUET;;;
A70;INFECCOES CAUSADAS POR CLAMIDIA PSITTACI;A70 INFECC CAUSADAS P C;;;
A70;INFECCOES CAUSADAS POR CLAMIDIA PSITTACI;A70 INFECC CAUSADAS P C;;;
A71;TRACOMA;A71 TRACOMA;;;
A710;FASE INICIAL DO TRACOMA;A71.0 FASE INICIAL DO TRA;;N;
A711;FASE ATIVA DO TRACOMA;A71.1 FASE ATIVA DO TRACO;;N;
A719;TRACOMA NAO ESPECIFICADO;A71.9 TRACOMA NE;;N;
A74;OUTRAS DOENCAS CAUSADAS POR CLAMIDIAS;A74 OUTR DOENC CAUSADAS;;;
A740;CONJUNTIVITE CAUSADA POR CLAMIDIAS;A74.0 CONJUNTIVITE CAUSAD;;N;H13.1*
A748;OUTRAS DOENCAS CAUSADAS POR CLAMIDIAS;A74.8 OUTR DOENC CAUSADAS;;;
A749;INFECCAO CAUSADA POR CLAMIDIAS NAO ESPECIFICADA;A74.9 INFECC CAUSADA P CL;;;
A75;TIFO EXANTEMATICO;A75 TIFO EXANTEMATICO;;;
A750;TIFO EPIDEMICO TRANSMITIDO POR PIOLHOS DEVIDO A RICKETTSIA PROWAZEKII;A75.0 TIFO EPIDEM TRANSM;;;
A751;TIFO RECRUDESCENTEDOENCA DE BRILL;A75.1 TIFO RECRUDESCENTE;;;
A752;TIFO POR RICKETTSIA TYPHI;A75.2 TIFO P RICKETTSIA T;;;
A753;TIFO POR RICKETTSIA TSUTSUGAMUCHI;A75.3 TIFO P RICKETTSIA T;;;
A759;TIFO NAO ESPECIFICADO;A75.9 TIFO NE;;;
A77;FEBRE MACULOSARICKETTSIOSES TRANSMITIDAS POR CARRAPATOS;A77 FEBRE MACULOSA;;;
A770;FEBRE MACULOSA POR RICKETTSIA RICHETTSII;A77.0 FEBRE MACULOSA P RI;;;
A771;FEBRE MACULOSA POR RICKETTSIA CONORII;A77.1 FEBRE MACULOSA P RI;;;
A772;FEBRE MACULOSA DEVIDA A RICKETTSIA SIBERICA;A77.2 FEBRE MACULOSA DEV;;;
A773;FEBRE MACULOSA DEVIDA A RICKETTSIA AUSTRALIS;A77.3 FEBRE MACULOSA DEV;;;
A778;OUTRAS FEBRES MACULOSAS;A77.8 OUTR FEBRES MACULOS;;;
A779;FEBRE MACULOSA NAO ESPECIFICADA;A77.9 FEBRE MACULOSA NE;;;
A78;FEBRE Q;A78 FEBRE Q;;;
A78;FEBRE Q;A78 FEBRE Q;;;
A79;OUTRAS RICKETTSIOSES;A79 OUTR RICKETTSIOSES;;;
A790;FEBRE DAS TRINCHEIRAS;A79.0 FEBRE DAS TRINCHEIR;;;
A791;RICKETTSIOSE VARICELIFORME DEVIDA A RICKETTSIA AKARI;A79.1 RICKETTSIOSE VARICE;;;
A798;OUTROS TIPOS DE RICKETTSIOSES ESPECIFICADAS;A79.8 OUTR TIPOS DE RICKE;;;
A799;RICKETTSIOSE NAO ESPECIFICADA;A79.9 RICKETTSIOSE NE;;;
A80;POLIOMIELITE AGUDA;A80 POLIOMIELITE AGUDA;;;
A800;POLIOMIELITE PARALITICA AGUDAASSOCIADA AO VIRUS VACINAL;A80.0 POLIOMIELITE PARAL;;;
A801;POLIOMIELITE PARALITICA AGUDAVIRUS SELVAGEM IMPORTADO;A80.1 POLIOMIEL PARAL AGU;;;
A802;POLIOMIELITE PARALITICA AGUDAVIRUS SELVAGEM INDIGENA;A80.2 POLIOMIEL PARAL AGU;;;
A803;POLIOMIELITES PARALITICAS AGUDASOUTRAS E NAO ESPECIFICADAS;A80.3 POLIOMIELITES PARAL;;;
A804;POLIOMIELITE AGUDA NAO PARALITICA;A80.4 POLIOMIELITE AGUDA;;;
A809;POLIOMIELITE AGUDA NAO ESPECIFICADA;A80.9 POLIOMIELITE AGUDA;;;
A81;INFECCOES POR VIRUS ATIPICOS DO SISTEMA NERVOSO CENTRAL;A81 INFECC P VIRUS ATIP;;;
A810;DOENCA DE CREUTZFELDT JAKOB;A81.0 DOENC DE CREUTZFELD;;;
A811;PANENCEFALITE ESCLEROSANTE SUBAGUDA;A81.1 PANENCEFALITE ESCLE;;;
A812;LEUCOENCEFALOPATIA MULTIFOCAL PROGRESSIVA;A81.2 LEUCOENCEFALOPATIA;;;
A818;OUTRAS INFECCOES POR VIRUS ATIPICOS DO SISTEMA NERVOSO CENTRAL;A81.8 OUTR INFECC P VIRUS;;;
A819;INFECCAO NAO ESPECIFICADA DO SISTEMA NERVOSOS CENTRAL POR VIRUS ATIPICOS;A81.9 INFECC NE SIST NERV;;;
A82;RAIVA;A82 RAIVA;;;
A820;RAIVA SILVESTRE;A82.0 RAIVA SILVESTRE;;;
A821;RAIVA URBANA;A82.1 RAIVA URBANA;;;
A829;RAIVA NAO ESPECIFICADA;A82.9 RAIVA NE;;;
A83;ENCEFALITE POR VIRUS TRANSMITIDOS POR MOSQUITOS;A83 ENCEFALITE P VIRUS;;;
A830;ENCEFALITE JAPONESA;A83.0 ENCEFALITE JAPONESA;;;
A831;ENCEFALITE EQ_INA OCIDENTAL;A83.1 ENCEFALITE EQUINA O;;;
A832;ENCEFALITE EQ_INA ORIENTAL;A83.2 ENCEFALITE EQUINA O;;;
A833;ENCEFALITE DE ST. LOUIS;A83.3 ENCEFALITE DE ST. L;;;
A834;ENCEFALITE AUSTRALIANA;A83.4 ENCEFALITE AUSTRALI;;;
A835;ENCEFALITE DA CALIFORNIA;A83.5 ENCEFALITE DA CALIF;;;
A836;DOENCA PELO VIRUS DE ROCIO;A83.6 DOENC P VIRUS DE RO;;;
A838;OUTRAS ENCEFALITES POR VIRUS TRANSMITIDAS POR MOSQUITOS;A83.8 OUTR ENCEFALITES P;;;
A839;ENCEFALITE NAO ESPECIFICADA POR VIRUS TRANSMITIDA POR MOSQUITOS;A83.9 ENCEFALITE NE P VIR;;;
A84;ENCEFALITE POR VIRUS TRANSMITIDO POR CARRAPATOS;A84 ENCEFALITE P VIRUS;;;
A840;ENCEFALITE DA TAIGAENCEFALITE VERNOESTIVAL RUSSA;A84.0 ENCEFALITE DA TAIGA;;;
A841;ENCEFALITE DA EUROPA CENTRAL TRANSMITIDA POR CARRAPATOS;A84.1 ENCEFALITE EUROPA C;;;
A848;OUTRAS ENCEFALITES POR VIRUS TRANSMITIDAS POR CARRAPATOS;A84.8 OUTR ENCEFALITES P;;;
A849;ENCEFALITE NAO ESPECIFICADA POR VIRUS TRANSMITIDA POR CARRAPATOS;A84.9 ENCEFALITE NE P VIR;;;
A85;OUTRAS ENCEFALITES VIRAISNAO CLASSIFICADAS EM OUTRA PARTE;A85 OUTR ENCEFALITES VI;;;
A850;ENCEFALITE POR ENTEROVIRUS;A85.0 ENCEFALITE P ENTERO;;;G05.1*
A851;ENCEFALITE POR ADENOVIRUS;A85.1 ENCEFALITE P ADENOV;;;G05.1*
A852;ENCEFALITE POR VIRUS TRANSMITIDO POR ARTROPODESNAO ESPECIFICADA;A85.2 ENCEFALITE P VIRUS;;;
A858;OUTRAS ENCEFALITES VIRAIS ESPECIFICADAS;A85.8 OUTR ENCEFALITES VI;;;
A86;ENCEFALITE VIRALNAO ESPECIFICADA;A86 ENCEFALITE VIRAL NE;;;
A86;ENCEFALITE VIRALNAO ESPECIFICADA;A86 ENCEFALITE VIRAL NE;;;
A87;MENINGITE VIRAL;A87 MENINGITE VIRAL;;;
A870;MENINGITE POR ENTEROVIRUS;A87.0 MENINGITE P ENTEROV;;;G02.0*
A871;MENINGITE POR ADENOVIRUS;A87.1 MENINGITE P ADENOVI;;;G02.0*
A872;CORIOMENINGITE LINFOCITARIA;A87.2 CORIOMENINGITE LINF;;;
A878;OUTRAS MENINGITES VIRAIS;A87.8 OUTR MENINGITES VIR;;;
A879;MENINGITE VIRAL NAO ESPECIFICADA;A87.9 MENINGITE VIRAL NE;;;
A88;OUTRAS INFECCOES VIRAIS DO SISTEMA NERVOSO CENTRAL NAO CLASSIFICADAS EM OUTRA PARTE;A88 OUTR INFECC VIRAIS;;;
A880;FEBRE EXANTEMATICA POR ENTEROVIRUSEXANTEMA DE BOSTON;A88.0 FEBRE EXANTEMATICA;;;
A881;VERTIGEM EPIDEMICA;A88.1 VERTIGEM EPIDEMICA;;;
A888;OUTRAS INFECCOES VIRAIS ESPECIFICADAS DO SISTEMA NERVOSO CENTRAL;A88.8 OUTR INFECC VIRAIS;;;
A89;INFECCOES VIRAIS NAO ESPECIFICADAS DO SISTEMA NERVOSO CENTRAL;A89 INFECC VIRAIS NE DO;;;
A89;INFECCOES VIRAIS NAO ESPECIFICADAS DO SISTEMA NERVOSO CENTRAL;A89 INFECC VIRAIS NE DO;;;
A90;DENGUEDENGUE CLASSICO;A90 DENGUE;;;
A90;DENGUEDENGUE CLASSICO;A90 DENGUE;;;
A91;FEBRE HEMORRAGICA DEVIDA AO VIRUS DO DENGUE;A91 FEBRE HEMORRAGICA D;;;
A91;FEBRE HEMORRAGICA DEVIDA AO VIRUS DO DENGUE;A91 FEBRE HEMORRAGICA D;;;
A92;OUTRAS FEBRES VIRAIS TRANSMITIDAS POR MOSQUITOS;A92 OUTR FEBRES VIRAIS;;;
A920;FEBRE DE CHIKUNGUNYA;A92.0 FEBRE DE CHIKUNGUNY;;;
A921;FEBRE DE O'NYONG NYONG;A92.1 FEBRE DE ONYONG NYO;;;
A922;FEBRE EQ_INA VENEZUELANA;A92.2 FEBRE EQUINA VENEZU;;;
A923;INFECCAO PELO VIRUS WEST NILE;A92.3 INFECCAO P VIRUS WE;;;
A924;FEBRE DO VALE DO RIFT;A92.4 FEBRE DO VALE DO RI;;;
A928;OUTRAS FEBRES VIRAIS ESPECIFICADAS TRANSMITIDAS POR MOSQUITOS;A92.8 OUTR FEBRES VIRAIS;;;
A929;FEBRE VIRAL TRANSMITIDA POR MOSQUITOSNAO ESPECIFICADA;A92.9 FEBRE VIRAL TRANSM;;;
A93;OUTRAS FEBRES POR VIRUS TRANSMITIDAS POR ARTROPODES NAO CLASSIFICADAS EM OUTRA PARTE;A93 OUTR FEBRES P VIRUS;;;
A930;FEBRE DE OROPOUCHE;A93.0 FEBRE DE OROPOUCHE;;;
A931;FEBRE POR FLEBOTOMOS;A93.1 FEBRE P FLEBOTOMOS;;;
A932;FEBRE DO COLORADO TRANSMITIDA POR CARRAPATOS;A93.2 FEBRE DO COLORADO T;;;
A938;OUTRAS FEBRES VIRAIS ESPECIFICADAS TRANSMITIDAS POR ARTROPODES;A93.8 OUTR FEBRES VIRAIS;;;
A94;FEBRE VIRAL TRANSMITIDA POR ARTROPODESNAO ESPECIFICADA;A94 FEBRE VIRAL TRANSM;;;
A94;FEBRE VIRAL TRANSMITIDA POR ARTROPODESNAO ESPECIFICADA;A94 FEBRE VIRAL TRANSM;;;
A95;FEBRE AMARELA;A95 FEBRE AMARELA;;;
A950;FEBRE AMARELA SILVESTRE;A95.0 FEBRE AMARELA SILVE;;;
A951;FEBRE AMARELA URBANA;A95.1 FEBRE AMARELA URBAN;;;
A959;FEBRE AMARELA NAO ESPECIFICADA;A95.9 FEBRE AMARELA NE;;;
A96;FEBRE HEMORRAGICA POR ARENAVIRUS;A96 FEBRE HEMORRAGICA P;;;
A960;FEBRE HEMORRAGICA DE JUNIN;A96.0 FEBRE HEMORRAGICA D;;;
A961;FEBRE HEMORRAGICA DE MACHUPO;A96.1 FEBRE HEMORRAGICA D;;;
A962;FEBRE DE LASSA;A96.2 FEBRE DE LASSA;;;
A968;OUTRAS FEBRES HEMORRAGICAS POR ARENAVIRUS;A96.8 OUTR FEBRES HEMORRA;;;
A969;FEBRE HEMORRAGICA POR ARENAVIRUSNAO ESPECIFICADA;A96.9 FEBRE HEMORRAGICA P;;;
A98;OUTRAS FEBRES HEMORRAGICAS POR VIRUSNAO CLASSIFICADAS EM OUTRA PARTE;A98 OUTR FEBRES HEMORRA;;;
A980;FEBRE HEMORRAGICA DA CRIMEIADO CONGO;A98.0 FEBRE HEMORRAGICA D;;;
A981;FEBRE HEMORRAGICA DE OMSK;A98.1 FEBRE HEMORRAGICA D;;;
A982;DOENCA DA FLORESTA DE KYASANUR;A98.2 DOENC DA FLORESTA D;;;
A983;DOENCA DE MARBURG;A98.3 DOENC DE MARBURG;;;
A984;DOENCA PELO VIRUS EBOLA;A98.4 DOENC P VIRUS EBOLA;;;
A985;FEBRE HEMORRAGICA COM SINDROME RENAL;A98.5 FEBRE HEMORRAGICA C;;;
A988;OUTRAS FEBRES HEMORRAGICAS ESPECIFICADAS POR VIRUS;A98.8 OUTR FEBRES HEMORRA;;;
A99;FEBRES HEMORRAGICAS VIRAIS NAO ESPECIFICADAS;A99 FEBRES HEMORRAGICAS;;;
A99;FEBRES HEMORRAGICAS VIRAIS NAO ESPECIFICADAS;A99 FEBRES HEMORRAGICAS;;;
B00;INFECCOES PELO VIRUS DO HERPESHERPES SIMPLES;B00 INFECC P VIRUS DO H;;;
B000;ECZEMA HERPETICO;B00.0 ECZEMA HERPETICO;;;
B001;DERMATITE VESICULAR DEVIDO AO VIRUS DO HERPES;B00.1 DERMATITE VESICULAR;;;
B002;GENGIVOESTOMATITE E FARINGOAMIGDALITE DEVIDA AO VIRUS DO HERPES;B00.2 GENGIVOESTOM E FARI;;N;
B003;MENINGITE DEVIDA AO VIRUS DO HERPES;B00.3 MENINGITE DEV VIRUS;;;G02.0*
B004;ENCEFALITE DEVIDA AO VIRUS DO HERPES;B00.4 ENCEFALITE DEV VIRU;;;G05.1*
B005;AFECCOES OCULARES DEVIDAS AO VIRUS DO HERPES;B00.5 AFECCOES OCULARES D;;N;
B007;DOENCA DISSEMINADA DEVIDA AO VIRUS DO HERPES;B00.7 DOENC DISSEMINADA D;;;
B008;OUTRAS FORMAS DE INFECCAO DEVIDA AO VIRUS DO HERPES;B00.8 OUTR FORM DE INFECC;;N;
B009;INFECCAO NAO ESPECIFICADA DEVIDA AO VIRUS DO HERPES;B00.9 INFECC NE DEV VIRUS;;;
B01;VARICELACATAPORA;B01 VARICELA;;;
B010;MENINGITE POR VARICELA;B01.0 MENINGITE P VARICEL;;;G02.0*
B011;ENCEFALITE POR VARICELA;B01.1 ENCEFALITE P VARICE;;;G05.1*
B012;PNEUMOPATIA VARICELOSA;B01.2 PNEUMOPATIA VARICEL;;;J17.1*
B018;VARICELA COM OUTRAS COMPLICACOES;B01.8 VARICELA C OUTR COM;;;
B019;VARICELA SEM COMPLICACAO;B01.9 VARICELA S COMPLIC;;;
B02;HERPES ZOSTERZONA;B02 HERPES ZOSTER;;;
B020;ENCEFALITE PELO VIRUS DO HERPES ZOSTER;B02.0 ENCEFALITE P VIRUS;;;G05.1*
B021;MENINGITE PELO VIRUS DO HERPES ZOSTER;B02.1 MENINGITE P VIRUS D;;;G02.0*
B022;HERPES ZOSTER ACOMPANHADO DE OUTRAS MANIFESTACOES NEUROLOGICAS;B02.2 HERPES ZOSTER ACOMP;;;
B023;HERPES ZOSTER OFTALMICO;B02.3 HERPES ZOSTER OFTAL;;;
B027;HERPES ZOSTER DISSEMINADO;B02.7 HERPES ZOSTER DISSE;;;
B028;HERPES ZOSTER COM OUTRAS COMPLICACOES;B02.8 HERPES ZOSTER C OUT;;;
B029;HERPES ZOSTER SEM COMPLICACAO;B02.9 HERPES ZOSTER S COM;;;
B03;VARIOLA;B03 VARIOLA;;;
B03;VARIOLA;B03 VARIOLA;;;
B04;VARIOLA DOS MACACOSMONKEYPOX;B04 VARIOLA DOS MACACOS;;;
B04;VARIOLA DOS MACACOSMONKEYPOX;B04 VARIOLA DOS MACACOS;;;
B05;SARAMPO;B05 SARAMPO;;;
B050;SARAMPO COMPLICADO POR ENCEFALITE;B05.0 SARAMPO COMPLICADO;;;G05.1*
B051;SARAMPO COMPLICADO POR MENINGITE;B05.1 SARAMPO COMPLICADO;;;G02.0*
B052;SARAMPO COMPLICADO POR PNEUMONIA;B05.2 SARAMPO COMPLICADO;;;J17.1*
B053;SARAMPO COMPLICADO POR OTITE MEDIA;B05.3 SARAMPO COMPLICADO;;;H67.1*
B054;SARAMPO COM COMPLICACOES INTESTINAIS;B05.4 SARAMPO C COMPLIC I;;;
B058;SARAMPO COM OUTRAS COMPLICACOES;B05.8 SARAMPO C OUTR COMP;;;
B059;SARAMPO SEM COMPLICACAO;B05.9 SARAMPO S COMPLIC;;;
B06;RUBEOLA;B06 RUBEOLA;;;
B060;RUBEOLA COM COMPLICACOES NEUROLOGICAS;B06.0 RUBEOLA C COMPLIC N;;;
B068;RUBEOLA COM OUTRAS COMPLICACOES;B06.8 RUBEOLA C OUTR COMP;;;
B069;RUBEOLA SEM COMPLICACAO;B06.9 RUBEOLA S COMPLIC;;;
B07;VERRUGAS DE ORIGEM VIRAL;B07 VERRUGAS ORIG VIRAL;;;
B07;VERRUGAS DE ORIGEM VIRAL;B07 VERRUGAS ORIG VIRAL;;N;
B08;OUTRAS INFECCOES VIRAIS CARACTERIZADAS POR LESOES DA PELE E DAS MEMBRANAS MUCOSASNAO CLASSIFICADAS EM OUTRA PARTE;B08 OUTR INF VIRAIS LES;;;
B080;OUTRAS INFECCOES POR ORTOPOXVIRUS;B08.0 OUTR INFECC P ORTOP;;;
B081;MOLUSCO CONTAGIOSO;B08.1 MOLUSCO CONTAGIOSO;;N;
B082;EXANTEMA SUBITOSEXTA DOENCA;B08.2 EXANTEMA SUBITO;;;
B083;ERITEMA INFECCIOSOQUINTA DOENCA;B08.3 ERITEMA INFECC;;;
B084;ESTOMATITE VESICULAR DEVIDA A ENTEROVIRUS COM EXANTEMA;B08.4 ESTOMATITE VESIC DE;;;
B085;FARINGITE VESICULAR DEVIDA A ENTEROVIRUS;B08.5 FARINGITE VESICULAR;;;
B088;OUTRAS INFECCOES VIRAIS ESPECIFICADAS CARACTERIZADAS POR LESOES DE PELE E DAS MEMBRANAS MUCOSAS;B08.8 OUTR INF VIRAIS ESP;;N;
B09;INFECCAO VIRAL NAO ESPECIFICADA CARACTERIZADA POR LESOES DA PELE E MEMBRANAS MUCOSAS;B09 INF VIRAL NE CARACT;;;
B09;INFECCAO VIRAL NAO ESPECIFICADA CARACTERIZADA POR LESOES DA PELE E MEMBRANAS MUCOSAS;B09 INF VIRAL NE CARACT;;;
B15;HEPATITE AGUDA A;B15 HEPATITE AGUDA A;;;
B150;HEPATITE A COM COMA HEPATICO;B15.0 HEPATITE A C COMA H;;;
B159;HEPATITE A SEM COMA HEPATICO;B15.9 HEPATITE A S COMA H;;;
B16;HEPATITE AGUDA B;B16 HEPATITE AGUDA B;;;
